# XDI/1.0 Hephaestus/0.9.26
# Element.edge:                  K
# Element.symbol:                Cu
# Column.1:                      energy eV
# Column.2:                      xmu
# Column.3:                      bkg
# Column.4:                      pre_edge
# Column.5:                      post_edge
# Column.6:                      der
# Column.7:                      sec
# Column.8:                      i0
# Column.9:                      chi(e)
# Athena.e0:                     8977.97
# Athena.eshift:                 0
# Athena.rbkg:                   1
# Athena.importance:             1
# Athena.standard:               None
# Athena.bkg_kweight:            2
# Athena.edge_step:              1.5112261
# Athena.fixed_step:             no
# Athena.pre_edge_range:         -150.000 -30.000
# Athena.pre_edge_line:          4.168335 - 0.000381749 * E
# Athena.normalization_range:    100.000 1000.000
# Athena.post_edge_polynomial:   31.859671 - 0.00560643 * E + 2.57144883e-007 * E^2 + 0 * E^3
# Athena.spline_range_energy:    0.000 1234.435
# Athena.clamps:                 0 24
# Athena.spline_range_k:         0.000 18.000
# Athena.kweight:                1
# Athena.window:                 hanning
# Athena.phase_correction:       no
# Athena.k_range:                3.000 17.000
# Athena.dk:                     1
# Athena.r_range:                1 3
# Athena.dr:                     0.0
# Athena.window:                 hanning
# Athena.plot_multiplier:        1
# Athena.y_offset:               0
# ///
#------------------------
#   e         xmu        bkg        pre_edge        post_edge        der        sec        i0        chie
  8977.4930        1.1386109        1.1386109       0.74118343        2.2526993       0.27983825       0.26209984E-01    298807.00        0.0000000
  8977.9700        1.2793371       0.90645323       0.74100133        2.2522274       0.24733426      -0.13241052        298618.00       0.24674261
  8978.4040        1.3639324        1.1542795       0.74083565        2.2517981       0.15921227      -0.17448164        298490.00       0.13873037
  8978.8810        1.4243795        1.2240360       0.74065356        2.2513265       0.88381487E-01  -0.13375894        298349.00       0.13257012
  8979.3580        1.4482484        1.2903449       0.74047147        2.2508549       0.31606241E-01  -0.10247204        298266.00       0.10448700
  8979.8360        1.4545634        1.3534236       0.74028899        2.2503825      -0.94793152E-02  -0.54373913E-01    298117.00       0.66925691E-01
  8980.3990        1.4383804        1.4235151       0.74007406        2.2498263      -0.24997002E-01  -0.13011454E-01    298013.00       0.98366021E-02
  8980.8340        1.4296164        1.4746445       0.73990800        2.2493966      -0.22464747E-01   0.22110592E-01    297898.00      -0.29795743E-01
  8981.3120        1.4178701        1.5278737       0.73972553        2.2489245      -0.48100315E-02   0.48068902E-01    297821.00      -0.72790986E-01
  8981.7890        1.4250228        1.5779943       0.73954343        2.2484536       0.23441055E-01   0.48681626E-01    297751.00      -0.10122340
  8982.2670        1.4402563        1.6253057       0.73936096        2.2479818       0.41680922E-01   0.43188688E-01    297610.00      -0.12244986
  8982.7440        1.4648281        1.6696993       0.73917886        2.2475111       0.64686251E-01   0.26465411E-01    297554.00      -0.13556619
  8983.2220        1.5020317        1.7114505       0.73899639        2.2470395       0.66955389E-01  -0.76958442E-02    297390.00      -0.13857542
  8983.6990        1.5287705        1.7504737       0.73881429        2.2465690       0.57336720E-01  -0.14479473E-01    297285.00      -0.14670421
  8984.2210        1.5593111        1.7902610       0.73861502        2.2460543       0.52490395E-01   0.66930410E-02    297231.00      -0.15282287
  8984.6980        1.5812084        1.8240484       0.73843292        2.2455840       0.64023068E-01   0.16525963E-01    297118.00      -0.16069068
  8985.1770        1.6205171        1.8556004       0.73825007        2.2451119       0.68289216E-01   0.37225808E-02    297058.00      -0.15555796
  8985.6540        1.6464929        1.8847428       0.73806797        2.2446420       0.67581855E-01   0.14434988E-01    296947.00      -0.15765336
  8986.1330        1.6851254        1.9118098       0.73788511        2.2441701       0.82089065E-01   0.43397903E-01    296924.00      -0.15000036
  8986.6100        1.7249701        1.9366648       0.73770302        2.2437003       0.10907025       0.46062620E-01    296770.00      -0.14008144
  8987.0890        1.7893965        1.9596059       0.73752016        2.2432287       0.12612493       0.11610390E-01    296736.00      -0.11262997
  8987.5670        1.8456716        1.9805728       0.73733769        2.2427582       0.12018139       0.77054936E-02    296601.00      -0.89266030E-01
  8988.0890        1.9095779        2.0013770       0.73713841        2.2422445       0.13383042       0.59277366E-02    296511.00      -0.60744802E-01
  8988.5660        1.9793682        2.0185737       0.73695632        2.2417752       0.12610320      -0.34317080E-01    296403.00      -0.25942865E-01
  8989.0450        2.0301326        2.0341917       0.73677346        2.2413041       0.10102329      -0.13665505E-01    296212.00      -0.26859988E-02
  8989.5230        2.0760475        2.0482177       0.73659098        2.2408341       0.11302531       0.22555315E-01    296193.00       0.18415383E-01
  8990.0020        2.1382978        2.0608003       0.73640813        2.2403632       0.12260873      -0.12057385E-01    296058.00       0.51281227E-01
  8990.4800        2.1933841        2.0719767       0.73622565        2.2398934       0.10148640      -0.44484309E-01    296005.00       0.80337008E-01
  8990.9590        2.2354203        2.0818836       0.73604279        2.2394227       0.80037248E-01  -0.58510556E-01    295847.00       0.10159743
  8991.4380        2.2700597        2.0905864       0.73585993        2.2389522       0.45433284E-01  -0.69615870E-01    295704.00       0.11876008
  8992.0030        2.2828526        2.0994267       0.73564425        2.2383973       0.73582799E-02  -0.59543697E-01    295658.00       0.12137558
  8992.4810        2.2777344        2.1058050       0.73546177        2.2379280      -0.16670793E-01  -0.43805363E-01    295485.00       0.11376818
  8992.9170        2.2676155        2.1108235       0.73529533        2.2375000      -0.32679822E-01  -0.31084184E-01    295407.00       0.10375151
  8993.3960        2.2478324        2.1155414       0.73511247        2.2370300      -0.45112821E-01  -0.18692932E-01    295348.00       0.87538827E-01
  8993.8750        2.2243974        2.1195137       0.73492961        2.2365600      -0.50587651E-01  -0.28459048E-02    295184.00       0.69403071E-01
  8994.3540        2.1993694        2.1228305       0.73474675        2.2360902      -0.47839198E-01   0.18467032E-02    294977.00       0.50646874E-01
  8994.8330        2.1785675        2.1255820       0.73456389        2.2356205      -0.48818510E-01   0.50209052E-02    294814.00       0.35061250E-01
  8995.3120        2.1526013        2.1278583       0.73438104        2.2351509      -0.43029171E-01   0.23640616E-01    294255.00       0.16372797E-01
  8995.7910        2.1373455        2.1297495       0.73419818        2.2346814      -0.26170799E-01   0.27160565E-01    293835.00       0.50264383E-02
  8996.2700        2.1275297        2.1313457       0.73401532        2.2342121      -0.17009349E-01   0.21543889E-01    293609.00      -0.25251181E-02
